"Rk","Player","Age","Game","GS","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_","X3P_","FT_","MP_1","PTS_1","TRB_1","AST_1","STL_1","BLK_1","Round","Team"
"1","DeMarre Carroll","28","6","6","210","38","70","14","30","15","18","12","31","43","17","5","1","7","18","105","0.543","0.467","0.833","35.1","17.5","7.2","2.8","0.8","0.2","1","ATL"
"2","Paul Millsap","29","6","6","221","36","80","10","21","12","20","13","45","58","20","13","7","7","17","94","0.45","0.476","0.6","36.8","15.7","9.7","3.3","2.2","1.2","1","ATL"
"3","Kyle Korver","33","6","6","229","30","69","23","58","10","12","0","36","36","18","10","6","5","6","93","0.435","0.397","0.833","38.2","15.5","6","3","1.7","1","1","ATL"
"4","Al Horford","28","6","6","198","40","83","0","4","6","8","15","45","60","23","6","7","12","15","86","0.482","0","0.75","33","14.3","10","3.8","1","1.2","1","ATL"
"5","Jeff Teague","26","6","6","189","30","76","7","21","18","23","2","12","14","47","12","1","19","12","85","0.395","0.333","0.783","31.6","14.2","2.3","7.8","2","0.2","1","ATL"
"6","Dennis Schroder","21","6","0","112","23","55","2","12","8","9","0","3","3","20","3","0","16","7","56","0.418","0.167","0.889","18.7","9.3","0.5","3.3","0.5","0","1","ATL"
"7","Pero Antic","32","6","0","95","10","24","7","15","10","12","5","13","18","2","1","2","2","16","37","0.417","0.467","0.833","15.9","6.2","3","0.3","0.2","0.3","1","ATL"
"8","Mike Scott","26","6","0","66","10","25","2","9","2","2","8","10","18","0","2","0","2","5","24","0.4","0.222","1","10.9","4","3","0","0.3","0","1","ATL"
"9","Kent Bazemore","25","6","0","106","8","26","1","13","3","4","3","16","19","3","3","3","3","10","20","0.308","0.077","0.75","17.7","3.3","3.2","0.5","0.5","0.5","1","ATL"
"10","Shelvin Mack","24","5","0","24","3","9","1","4","0","0","1","1","2","4","4","0","0","2","7","0.333","0.25",,"4.9","1.4","0.4","0.8","0.8","0","1","ATL"
"11","Mike Muscala","23","1","0","6","2","3","0","1","0","0","1","1","2","0","1","1","2","1","4","0.667","0",,"5.9","4","2","0","1","1","1","ATL"
"12","Elton Brand","35","2","0","4","0","1","0","0","0","0","0","1","1","0","0","0","0","2","0","0",,,"1.9","0","0.5","0","0","0","1","ATL"
"13","John Jenkins","23","1","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,"3.6","0","0","0","0","0","1","ATL"
"1","Brook Lopez","26","6","6","234","43","87","0","0","33","40","20","34","54","5","4","13","6","18","119","0.494",,"0.825","38.9","19.8","9","0.8","0.7","2.2","1","BKLN"
"2","Joe Johnson","33","6","6","249","34","94","12","41","19","24","5","41","46","29","7","0","5","16","99","0.362","0.293","0.792","41.6","16.5","7.7","4.8","1.2","0","1","BKLN"
"3","Jarrett Jack","31","6","0","153","28","54","5","15","13","13","2","23","25","27","7","1","20","14","74","0.519","0.333","1","25.5","12.3","4.2","4.5","1.2","0.2","1","BKLN"
"4","Deron Williams","30","6","6","192","27","69","11","26","6","7","3","34","37","33","8","0","16","18","71","0.391","0.423","0.857","32","11.8","6.2","5.5","1.3","0","1","BKLN"
"5","Alan Anderson","32","6","0","142","25","41","10","16","6","9","2","19","21","7","4","1","8","9","66","0.61","0.625","0.667","23.6","11","3.5","1.2","0.7","0.2","1","BKLN"
"6","Thaddeus Young","26","6","6","190","29","66","0","4","5","12","17","26","43","16","5","1","14","15","63","0.439","0","0.417","31.7","10.5","7.2","2.7","0.8","0.2","1","BKLN"
"7","Bojan Bogdanovic","25","6","5","206","23","59","11","33","5","7","3","20","23","10","4","2","8","12","62","0.39","0.333","0.714","34.4","10.3","3.8","1.7","0.7","0.3","1","BKLN"
"8","Mason Plumlee","24","6","0","49","4","6","0","0","4","11","2","6","8","2","4","2","3","10","12","0.667",,"0.364","8.2","2","1.3","0.3","0.7","0.3","1","BKLN"
"9","Markel Brown","23","2","1","10","2","5","0","2","2","2","2","0","2","1","0","0","2","0","6","0.4","0","1","5.1","3","1","0.5","0","0","1","BKLN"
